Sample in Buffer,Sample in Window,TRIGGER,pcie/design_1_i/myip_0_slv_reg0[31:0],pcie/design_1_i/myip_0_slv_reg1[31:0],pcie/design_1_i/to_slv_reg2_0_1[31:0],pcie/design_1_i/to_slv_reg3_0_1[31:0],pcie/design_1_i/probe4_0_1[31:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX
271,271,0,00010009,00000001,00000000,00000150,00010001
272,272,0,00010009,00000001,00000000,00000150,00010001
273,273,0,00010009,00000001,00000000,00000150,00010001
274,274,0,00010009,00000001,00000000,00000150,00010001
275,275,0,00010009,00000001,00000000,00000150,00010001
276,276,0,00010009,00000001,00000000,00000150,00010001
277,277,0,00010009,00000001,00000000,00000150,00010001
278,278,0,00010009,00000001,00000000,00000150,00010001
279,279,0,00010009,00000001,00000000,00000150,00010001
280,280,0,00010009,00000001,00000000,00000150,00010001
281,281,0,00010009,00000001,00000000,00000150,00010001
282,282,0,00010009,00000001,00000000,00000150,00010001
283,283,0,00010009,00000001,00000000,00000150,00010001
284,284,0,00010009,00000001,00000000,00000150,00010001
285,285,0,00010009,00000001,00000000,00000150,00010001
286,286,0,00010009,00000001,00000000,00000150,00010001
287,287,0,00010009,00000001,00000000,00000150,00010001
288,288,0,00010009,00000001,00000000,00000150,00010001
289,289,0,00010009,00000001,00000000,00000150,00010001
290,290,0,00010009,00000001,00000000,00000150,00010001
291,291,0,00010009,00000001,00000000,00000150,00010001
292,292,0,00010009,00000001,00000000,00000150,00010001
293,293,0,00010009,00000001,00000000,00000150,00010001
294,294,0,00010009,00000001,00000000,00000150,00010001
295,295,0,00010009,00000001,00000000,00000150,00010001
296,296,0,00010009,00000001,00000000,00000150,00010001
297,297,0,00010009,00000001,00000000,00000150,00010001
298,298,0,00010009,00000001,00000000,00000150,00010001
299,299,0,00010009,00000001,00000000,00000150,00010001
300,300,0,00010009,00000001,00000000,00000150,00010001
301,301,0,00010009,00000001,00000000,00000150,00010001
302,302,0,00010009,00000001,00000000,00000150,00010001
303,303,0,00010009,00000001,00000000,00000150,00010001
304,304,0,00010009,00000001,00000000,00000150,00010001
305,305,0,00010009,00000001,00000000,00000150,00010001
306,306,0,00010009,00000001,00000000,00000150,00010001
307,307,0,00010009,00000001,00000000,00000150,00010001
308,308,0,00010009,00000001,00000000,00000150,00010001
309,309,0,00010009,00000001,00000000,00000150,00010001
310,310,0,00010009,00000001,00000000,00000150,00010001
311,311,0,00010009,00000001,00000000,00000150,00010001
312,312,0,00010009,00000001,00000000,00000150,00010001
313,313,0,00010009,00000001,00000000,00000150,00010001
314,314,0,00010009,00000001,00000000,00000150,00010001
315,315,0,00010009,00000001,00000000,00000150,00010001
316,316,0,00010009,00000001,00000000,00000150,00010001
317,317,0,00010009,00000001,00000000,00000150,00010001
318,318,0,00010009,00000001,00000000,00000150,00010001
319,319,0,00010009,00000001,00000000,00000150,00010001
320,320,0,00010009,00000001,00000000,00000150,00010001
321,321,0,00010009,00000001,00000000,00000150,00010001
322,322,0,00010009,00000001,00000000,00000150,00010001
323,323,0,00010009,00000001,00000000,00000150,00010001
324,324,0,00010009,00000001,00000000,00000150,00010001
325,325,0,00010009,00000001,00000000,00000150,00010001
326,326,0,00010009,00000001,00000000,00000150,00010001
327,327,0,00010009,00000001,00000000,00000150,00010001
328,328,0,00010009,00000001,00000000,00000150,00010001
329,329,0,00010009,00000001,00000000,00000150,00010001
330,330,0,00010009,00000001,00000000,00000150,00010001
331,331,0,00010009,00000001,00000000,00000150,00010001
332,332,0,00010009,00000001,00000000,00000150,00010001
333,333,0,00010009,00000001,00000000,00000150,00010001
334,334,0,00010009,00000001,00000000,00000150,00010001
335,335,0,00010009,00000001,00000000,00000150,00010001
336,336,0,00010009,00000001,00000000,00000150,00010001
337,337,0,00010009,00000001,00000000,00000150,00010001
338,338,0,00010009,00000001,00000000,00000150,00010001
339,339,0,00010009,00000001,00000000,00000150,00010001
340,340,0,00010009,00000001,00000000,00000150,00010001
341,341,0,00010009,00000001,00000000,00000150,00010001
342,342,0,00010009,00000001,00000000,00000150,00010001
343,343,0,00010009,00000001,00000000,00000150,00010001
344,344,0,00010009,00000001,00000000,00000150,00010001
345,345,0,00010009,00000001,00000000,00000150,00010001
346,346,0,00010009,00000001,00000000,00000150,00010001
347,347,0,00010009,00000001,00000000,00000150,00010001
348,348,0,00010009,00000001,00000000,00000150,00010001
349,349,0,00010009,00000001,00000000,00000150,00010001
350,350,0,00010009,00000001,00000000,00000150,00010001
351,351,0,00010009,00000001,00000000,00000150,00010001
352,352,0,00010009,00000001,00000000,00000150,00010001
353,353,0,00010009,00000001,00000000,00000150,00010001
354,354,0,00010009,00000001,00000000,00000150,00010001
355,355,0,00010009,00000001,00000000,00000150,00010001
356,356,0,00010009,00000001,00000000,00000150,00010001
357,357,0,00010009,00000001,00000000,00000150,00010001
358,358,0,00010009,00000001,00000000,00000150,00010001
359,359,0,00010009,00000001,00000000,00000150,00010001
360,360,0,00010009,00000001,00000000,00000150,00010001
361,361,0,00010009,00000001,00000000,00000150,00010001
362,362,0,00010009,00000001,00000000,00000150,00010001
363,363,0,00010009,00000001,00000000,00000150,00010001
364,364,0,00010009,00000001,00000000,00000150,00010001
365,365,0,00010009,00000001,00000000,00000150,00010001
366,366,0,00010009,00000001,00000000,00000150,00010001
367,367,0,00010009,00000001,00000000,00000150,00010001
368,368,0,00010009,00000001,00000000,00000150,00010001
369,369,0,00010009,00000001,00000000,00000150,00010001
370,370,0,00010009,00000001,00000000,00000150,00010001
371,371,0,00010009,00000001,00000000,00000150,00010001
372,372,0,00010009,00000001,00000000,00000150,00010001
373,373,0,00010009,00000001,00000000,00000150,00010001
374,374,0,00010009,00000001,00000000,00000150,00010001
375,375,0,00010009,00000001,00000000,00000150,00010001
376,376,0,00010009,00000001,00000000,00000150,00010001
377,377,0,00010009,00000001,00000000,00000150,00010001
378,378,0,00010009,00000001,00000000,00000150,00010001
379,379,0,00010009,00000001,00000000,00000150,00010001
380,380,0,00010009,00000001,00000000,00000150,00010001
381,381,0,00010009,00000001,00000000,00000150,00010001
382,382,0,00010009,00000001,00000000,00000150,00010001
383,383,0,00010009,00000001,00000000,00000150,00010001
384,384,0,00010009,00000001,00000000,00000150,00010001
385,385,0,00010009,00000001,00000000,00000150,00010001
386,386,0,00010009,00000001,00000000,00000150,00010001
387,387,0,00010009,00000001,00000000,00000150,00010001
388,388,0,00010009,00000001,00000000,00000150,00010001
389,389,0,00010009,00000001,00000000,00000150,00010001
390,390,0,00010009,00000001,00000000,00000150,00010001
391,391,0,00010009,00000001,00000000,00000150,00010001
392,392,0,00010009,00000001,00000000,00000150,00010001
393,393,0,00010009,00000001,00000000,00000150,00010001
394,394,0,00010009,00000001,00000000,00000150,00010001
395,395,0,00010009,00000001,00000000,00000150,00010001
396,396,0,00010009,00000001,00000000,00000150,00010001
397,397,0,00010009,00000001,00000000,00000150,00010001
398,398,0,00010009,00000001,00000000,00000150,00010001
399,399,0,00010009,00000001,00000000,00000150,00010001
400,400,0,00010009,00000001,00000000,00000150,00010001
401,401,0,00010009,00000001,00000000,00000150,00010001
402,402,0,00010009,00000001,00000000,00000150,00010001
403,403,0,00010009,00000001,00000000,00000150,00010001
404,404,0,00010009,00000001,00000000,00000150,00010001
405,405,0,00010009,00000001,00000000,00000150,00010001
406,406,0,00010009,00000001,00000000,00000150,00010001
407,407,0,00010009,00000001,00000000,00000150,00010001
408,408,0,00010009,00000001,00000000,00000150,00010001
409,409,0,00010009,00000001,00000000,00000150,00010001
410,410,0,00010009,00000001,00000000,00000150,00010001
411,411,0,00010009,00000001,00000000,00000150,00010001
412,412,0,00010009,00000001,00000000,00000150,00010001
413,413,0,00010009,00000001,00000000,00000150,00010001
414,414,0,00010009,00000001,00000000,00000150,00010001
415,415,0,00010009,00000001,00000000,00000150,00010001
416,416,0,00010009,00000001,00000000,00000150,00010001
417,417,0,00010009,00000001,00000000,00000150,00010001
418,418,0,00010009,00000001,00000000,00000150,00010001
419,419,0,00010009,00000001,00000000,00000150,00010001
420,420,0,00010009,00000001,00000000,00000150,00010001
421,421,0,00010009,00000001,00000000,00000150,00010001
422,422,0,00010009,00000001,00000000,00000150,00010001
423,423,0,00010009,00000001,00000000,00000150,00010001
424,424,0,00010009,00000001,00000000,00000150,00010001
425,425,0,00010009,00000001,00000000,00000150,00010001
426,426,0,00010009,00000001,00000000,00000150,00010001
427,427,0,00010009,00000001,00000000,00000150,00010001
428,428,0,00010009,00000001,00000000,00000150,00010001
429,429,0,00010009,00000001,00000000,00000150,00010001
430,430,0,00010009,00000001,00000000,00000150,00010001
431,431,0,00010009,00000001,00000000,00000150,00010001
432,432,0,00010009,00000001,00000000,00000150,00010001
433,433,0,00010009,00000001,00000000,00000150,00010001
434,434,0,00010009,00000001,00000000,00000150,00010001
435,435,0,00010009,00000001,00000000,00000150,00010001
436,436,0,00010009,00000001,00000000,00000150,00010001
437,437,0,00010009,00000001,00000000,00000150,00010001
438,438,0,00010009,00000001,00000000,00000150,00010001
439,439,0,00010009,00000001,00000000,00000150,00010001
440,440,0,00010009,00000001,00000000,00000150,00010001
441,441,0,00010009,00000001,00000000,00000150,00010001
442,442,0,00010009,00000001,00000000,00000150,00010001
443,443,0,00010009,00000001,00000000,00000150,00010001
444,444,0,00010009,00000001,00000000,00000150,00010001
445,445,0,00010009,00000001,00000000,00000150,00010001
446,446,0,00010009,00000001,00000000,00000150,00010001
447,447,0,00010009,00000001,00000000,00000150,00010001
448,448,0,00010009,00000001,00000000,00000150,00010001
449,449,0,00010009,00000001,00000000,00000150,00010001
450,450,0,00010009,00000001,00000000,00000150,00010001
451,451,0,00010009,00000001,00000000,00000150,00010001
452,452,0,00010009,00000001,00000000,00000150,00010001
453,453,0,00010009,00000001,00000000,00000150,00010001
454,454,0,00010009,00000001,00000000,00000150,00010001
455,455,0,00010009,00000001,00000000,00000150,00010001
456,456,0,00010009,00000001,00000000,00000150,00010001
457,457,0,00010009,00000001,00000000,00000150,00010001
458,458,0,00010009,00000001,00000000,00000150,00010001
459,459,0,00010009,00000001,00000000,00000150,00010001
460,460,0,00010009,00000001,00000000,00000150,00010001
461,461,0,00010009,00000001,00000000,00000150,00010001
462,462,0,00010009,00000001,00000000,00000150,00010001
463,463,0,00010009,00000001,00000000,00000150,00010001
464,464,0,00010009,00000001,00000000,00000150,00010001
465,465,0,00010009,00000001,00000000,00000150,00010001
466,466,0,00010009,00000001,00000000,00000150,00010001
467,467,0,00010009,00000001,00000000,00000150,00010001
468,468,0,00010009,00000001,00000000,00000150,00010001
469,469,0,00010009,00000001,00000000,00000150,00010001
470,470,0,00010009,00000001,00000000,00000150,00010001
471,471,0,00010009,00000001,00000000,00000150,00010001
472,472,0,00010009,00000001,00000000,00000150,00010001
473,473,0,00010009,00000001,00000000,00000150,00010001
474,474,0,00010009,00000001,00000000,00000150,00010001
475,475,0,00010009,00000001,00000000,00000150,00010001
476,476,0,00010009,00000001,00000000,00000150,00010001
477,477,0,00010009,00000001,00000000,00000150,00010001
478,478,0,00010009,00000001,00000000,00000150,00010001
479,479,0,00010009,00000001,00000000,00000150,00010001
480,480,0,00010009,00000001,00000000,00000150,00010001
481,481,0,00010009,00000001,00000000,00000150,00010001
482,482,0,00010009,00000001,00000000,00000150,00010001
483,483,0,00010009,00000001,00000000,00000150,00010001
484,484,0,00010009,00000001,00000000,00000150,00010001
485,485,0,00010009,00000001,00000000,00000150,00010001
486,486,0,00010009,00000001,00000000,00000150,00010001
487,487,0,00010009,00000001,00000000,00000150,00010001
488,488,0,00010009,00000001,00000000,00000150,00010001
489,489,0,00010009,00000001,00000000,00000150,00010001
490,490,0,00010009,00000001,00000000,00000150,00010001
491,491,0,00010009,00000001,00000000,00000150,00010001
492,492,0,00010009,00000001,00000000,00000150,00010001
493,493,0,00010009,00000001,00000000,00000150,00010001
494,494,0,00010009,00000001,00000000,00000150,00010001
495,495,0,00010009,00000001,00000000,00000150,00010001
496,496,0,00010009,00000001,00000000,00000150,00010001
497,497,0,00010009,00000001,00000000,00000150,00010001
498,498,0,00010009,00000001,00000000,00000150,00010001
