Sample in Buffer,Sample in Window,TRIGGER,pcie/design_1_i/system_ila_0/inst/probe0_1[31:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX
805,805,0,ffffffff
806,806,0,ffffffff
807,807,0,ffffffff
808,808,0,ffffffff
809,809,0,ffffffff
810,810,0,ffffffff
811,811,0,ffffffff
812,812,0,ffffffff
813,813,0,ffffffff
814,814,0,ffffffff
815,815,0,ffffffff
816,816,0,ffffffff
817,817,0,ffffffff
818,818,0,ffffffff
819,819,0,ffffffff
820,820,0,ffffffff
821,821,0,ffffffff
822,822,0,ffffffff
823,823,0,ffffffff
824,824,0,ffffffff
825,825,0,ffffffff
826,826,0,ffffffff
827,827,0,ffffffff
828,828,0,ffffffff
829,829,0,ffffffff
830,830,0,ffffffff
831,831,0,ffffffff
832,832,0,ffffffff
833,833,0,ffffffff
834,834,0,ffffffff
835,835,0,ffffffff
836,836,0,ffffffff
837,837,0,ffffffff
838,838,0,ffffffff
839,839,0,ffffffff
840,840,0,ffffffff
841,841,0,ffffffff
842,842,0,ffffffff
843,843,0,ffffffff
844,844,0,ffffffff
845,845,0,ffffffff
846,846,0,ffffffff
847,847,0,ffffffff
848,848,0,ffffffff
849,849,0,ffffffff
850,850,0,ffffffff
851,851,0,ffffffff
852,852,0,ffffffff
853,853,0,ffffffff
854,854,0,ffffffff
855,855,0,ffffffff
856,856,0,ffffffff
857,857,0,ffffffff
858,858,0,ffffffff
859,859,0,ffffffff
860,860,0,ffffffff
861,861,0,ffffffff
862,862,0,ffffffff
863,863,0,ffffffff
864,864,0,ffffffff
865,865,0,ffffffff
866,866,0,ffffffff
867,867,0,ffffffff
868,868,0,ffffffff
869,869,0,ffffffff
870,870,0,ffffffff
871,871,0,ffffffff
872,872,0,ffffffff
873,873,0,ffffffff
874,874,0,ffffffff
875,875,0,ffffffff
876,876,0,ffffffff
877,877,0,ffffffff
878,878,0,ffffffff
879,879,0,ffffffff
880,880,0,ffffffff
881,881,0,ffffffff
882,882,0,ffffffff
883,883,0,ffffffff
884,884,0,ffffffff
