Sample in Buffer,Sample in Window,TRIGGER,pcie/design_1_i/myip_0_slv_reg0[31:0],pcie/design_1_i/myip_0_slv_reg1[31:0],pcie/design_1_i/to_slv_reg2_0_1[31:0],pcie/design_1_i/to_slv_reg3_0_1[31:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX
332,332,0,00000003,00000000,00010001,00000150
333,333,0,00000003,00000000,00010001,00000150
334,334,0,00000003,00000000,00010001,00000150
335,335,0,00000003,00000000,00010001,00000150
336,336,0,00000003,00000000,00010001,00000150
337,337,0,00000003,00000000,00010001,00000150
338,338,0,00000003,00000000,00010001,00000150
339,339,0,00000003,00000000,00010001,00000150
340,340,0,00000003,00000000,00010001,00000150
341,341,0,00000003,00000000,00010001,00000150
342,342,0,00000003,00000000,00010001,00000150
343,343,0,00000003,00000000,00010001,00000150
344,344,0,00000003,00000000,00010001,00000150
345,345,0,00000003,00000000,00010001,00000150
346,346,0,00000003,00000000,00010001,00000150
347,347,0,00000003,00000000,00010001,00000150
348,348,0,00000003,00000000,00010001,00000150
349,349,0,00000003,00000000,00010001,00000150
350,350,0,00000003,00000000,00010001,00000150
351,351,0,00000003,00000000,00010001,00000150
352,352,0,00000003,00000000,00010001,00000150
353,353,0,00000003,00000000,00010001,00000150
354,354,0,00000003,00000000,00010001,00000150
355,355,0,00000003,00000000,00010001,00000150
356,356,0,00000003,00000000,00010001,00000150
357,357,0,00000003,00000000,00010001,00000150
358,358,0,00000003,00000000,00010001,00000150
359,359,0,00000003,00000000,00010001,00000150
360,360,0,00000003,00000000,00010001,00000150
361,361,0,00000003,00000000,00010001,00000150
362,362,0,00000003,00000000,00010001,00000150
363,363,0,00000003,00000000,00010001,00000150
364,364,0,00000003,00000000,00010001,00000150
365,365,0,00000003,00000000,00010001,00000150
366,366,0,00000003,00000000,00010001,00000150
367,367,0,00000003,00000000,00010001,00000150
368,368,0,00000003,00000000,00010001,00000150
369,369,0,00000003,00000000,00010001,00000150
370,370,0,00000003,00000000,00010001,00000150
371,371,0,00000003,00000000,00010001,00000150
372,372,0,00000003,00000000,00010001,00000150
373,373,0,00000003,00000000,00010001,00000150
374,374,0,00000003,00000000,00010001,00000150
375,375,0,00000003,00000000,00010001,00000150
376,376,0,00000003,00000000,00010001,00000150
377,377,0,00000003,00000000,00010001,00000150
378,378,0,00000003,00000000,00010001,00000150
379,379,0,00000003,00000000,00010001,00000150
380,380,0,00000003,00000000,00010001,00000150
381,381,0,00000003,00000000,00010001,00000150
382,382,0,00000003,00000000,00010001,00000150
383,383,0,00000003,00000000,00010001,00000150
384,384,0,00000003,00000000,00010001,00000150
385,385,0,00000003,00000000,00010001,00000150
386,386,0,00000003,00000000,00010001,00000150
387,387,0,00000003,00000000,00010001,00000150
388,388,0,00000003,00000000,00010001,00000150
389,389,0,00000003,00000000,00010001,00000150
390,390,0,00000003,00000000,00010001,00000150
391,391,0,00000003,00000000,00010001,00000150
392,392,0,00000003,00000000,00010001,00000150
393,393,0,00000003,00000000,00010001,00000150
394,394,0,00000003,00000000,00010001,00000150
395,395,0,00000003,00000000,00010001,00000150
396,396,0,00000003,00000000,00010001,00000150
397,397,0,00000003,00000000,00010001,00000150
398,398,0,00000003,00000000,00010001,00000150
399,399,0,00000003,00000000,00010001,00000150
400,400,0,00000003,00000000,00010001,00000150
401,401,0,00000003,00000000,00010001,00000150
402,402,0,00000003,00000000,00010001,00000150
403,403,0,00000003,00000000,00010001,00000150
404,404,0,00000003,00000000,00010001,00000150
